wall,elapsed_s,cycle,rss_mb,threads,handles,children,cpu_pct
2026-05-31T12:27:08,221.4,0,513.3,51,2054,1,4.8
2026-05-31T12:27:10,223.8,0,512.7,51,2054,1,1.9
2026-05-31T12:27:13,226.1,0,511.4,51,2054,1,1.4
2026-05-31T12:27:15,228.4,0,511.3,51,2054,1,4.0
2026-05-31T12:27:17,230.8,0,511.3,51,2054,1,2.0
2026-05-31T12:27:20,233.1,0,511.4,51,2054,1,9.6
2026-05-31T12:27:22,235.4,0,510.1,51,2054,1,2.0
2026-05-31T12:27:25,237.8,0,508.3,43,2030,1,4.6
2026-05-31T12:27:27,240.1,0,507.9,43,2030,1,1.3
2026-05-31T12:27:29,242.6,0,502.4,43,2030,1,4.5
2026-05-31T12:27:32,245.2,0,499.7,43,2030,1,5.9
2026-05-31T12:27:34,247.8,0,497.2,43,2030,1,3.7
2026-05-31T12:27:37,250.1,0,494.6,43,2030,1,4.0
2026-05-31T12:27:39,252.6,0,490.9,43,2030,1,3.8
2026-05-31T12:27:42,255.1,0,489.9,43,2030,1,2.5
2026-05-31T12:27:44,257.7,0,488.5,43,2030,1,2.4
2026-05-31T12:27:47,260.3,0,488.3,43,2030,1,6.0
2026-05-31T12:27:49,262.6,0,483.9,43,2030,1,4.6
